,user,item,actual,predicted
0,566,3633,3.0,3.0222373
1,355,4896,4.0,0.34116095
2,67,2325,3.5,2.8752162
3,88,314,0.5,2.39713
4,273,5946,3.5,2.9845035
5,598,1957,2.5,2.6313405
6,605,4755,4.5,3.2640283
7,58,93,4.0,2.8350255
8,110,3849,0.5,2.6151626
9,559,5190,4.0,3.5532303
10,488,4145,4.5,2.5742407
11,56,337,4.0,3.2914472
12,166,2300,5.0,1.963781
13,128,2285,4.0,2.933357
14,220,4604,4.0,2.2426448
15,380,4541,3.0,3.691862
16,287,467,4.0,3.6181922
17,317,7752,3.5,3.4688373
18,530,3633,5.0,3.587713
19,489,3152,2.5,2.6650476
20,609,8070,3.5,4.669231
21,473,700,3.5,5.0
22,524,7354,3.0,4.1448674
23,586,2547,4.0,0.0
24,379,8408,3.0,2.4471416
25,360,615,3.5,3.2586093
26,72,1502,5.0,2.7445364
27,598,511,3.5,3.1943064
28,427,2391,2.0,2.2808816
29,17,3633,4.5,4.7150726
30,221,1072,3.5,2.9126687
31,72,8115,3.0,2.4847834
32,560,1053,3.0,2.9214594
33,559,7733,4.0,2.5365531
34,609,7449,3.5,3.4857273
35,447,3012,3.0,2.8056684
36,476,5834,5.0,2.5546384
37,426,333,2.5,1.4009767
38,447,4025,0.5,0.0
39,473,4745,2.5,2.704343
40,101,508,4.0,2.4754984
41,379,551,3.0,4.357398
42,379,4870,4.0,1.9683106
43,103,5722,4.5,1.5294998
44,168,3633,4.5,3.1061153
45,287,1733,4.5,3.4528966
46,560,2037,5.0,4.6719146
47,289,23,3.0,3.6224775
48,609,6045,3.5,3.841933
49,572,1070,1.5,3.6980648
50,576,2219,4.0,2.1728296
51,536,7879,3.0,1.1514603
52,164,509,4.0,2.6582615
53,203,906,4.0,5.0
54,598,1096,1.0,0.0
55,458,3814,4.0,2.6106548
56,103,7749,4.0,3.7211487
57,40,6314,3.0,2.187727
58,517,1370,4.5,2.5773
59,473,3678,3.0,3.8188286
60,273,559,3.5,2.3945055
61,254,2109,2.0,1.2032709
62,65,46,4.0,4.3387637
63,553,2143,2.0,1.9364322
64,199,1210,4.0,3.8388853
65,287,4473,3.5,2.9668524
66,159,507,5.0,3.3908143
67,491,668,4.0,2.2276723
68,231,5381,3.0,2.7003713
69,586,2257,4.0,2.155506
70,189,3539,4.0,2.5912137
71,181,5721,4.0,3.2925782
72,447,1001,4.0,4.3297753
73,56,2192,4.0,5.0
74,304,7716,3.5,1.8708789
75,115,1163,4.5,2.0652268
76,506,507,3.0,4.2312512
77,180,243,3.0,3.0156088
78,264,999,2.0,3.424995
79,287,1436,4.0,3.01055
80,176,4604,4.0,3.4832108
81,445,615,3.0,1.9827694
82,593,505,5.0,4.1859684
83,239,9,3.0,2.1212454
84,224,1844,4.0,1.227923
85,155,1528,3.0,2.4501534
86,386,2651,2.0,2.3674128
87,526,1037,4.0,3.3030896
88,104,5859,3.5,0.0
89,602,2192,4.0,5.0
90,296,84,1.0,1.2357931
91,413,6280,4.0,3.7039123
92,488,4155,4.0,2.8250835
93,90,2559,5.0,3.4721417
94,291,6693,4.0,3.7127419
95,598,5513,2.0,2.4230244
96,352,311,3.0,3.0109143
97,299,3617,4.0,3.999215
98,473,5125,3.5,0.029875722
99,436,442,3.0,3.719378
100,417,2567,0.5,2.4110456
101,479,5379,3.5,2.697795
102,248,7841,5.0,4.214774
103,605,2903,3.5,3.382008
104,274,520,4.0,5.0
105,137,1436,4.0,1.9159346
106,198,5721,4.0,3.552261
107,42,546,5.0,4.374737
108,456,2224,5.0,3.245861
109,569,6341,3.5,2.7931633
110,447,4170,5.0,4.5318017
111,27,2610,3.0,0.7980319
112,289,1294,4.0,3.6523838
113,413,5978,3.0,2.617077
114,291,6726,4.5,2.8323581
115,57,116,3.0,5.0
116,267,1815,2.0,2.9359865
117,88,2824,5.0,2.2931497
118,369,899,4.0,3.8842485
119,218,3898,3.0,3.1903172
120,361,1497,4.0,3.895829
121,329,2246,2.5,3.442026
122,473,1004,5.0,3.8133025
123,386,6191,3.0,1.4688315
124,551,3539,4.0,2.7870345
125,520,71,4.0,2.145012
126,468,2860,4.0,0.04170628
127,248,4805,3.0,2.9360902
128,273,62,4.5,4.5281715
129,139,297,3.0,3.8064256
130,333,6464,3.0,2.4083002
131,107,3712,4.0,3.7388191
132,199,2708,4.0,3.6180506
133,27,3641,4.5,2.8168697
134,359,1216,5.0,3.400844
135,317,2783,4.0,3.6678607
136,273,2438,3.5,2.4781034
137,297,2760,2.0,1.9606452
138,27,4631,3.5,2.1757743
139,273,4367,3.0,1.6016421
140,413,4300,2.0,2.1422765
141,218,313,1.0,1.7183475
142,475,31,4.0,3.9496348
143,352,10,4.0,3.6399589
144,479,596,3.5,2.9598873
145,285,2978,4.5,1.7406042
146,404,4861,3.5,0.0
147,559,3898,3.5,4.483777
148,164,1502,3.0,3.6928384
149,605,3826,4.0,3.6799324
150,605,3349,3.5,3.2029839
151,224,2278,2.0,1.0340794
152,386,2848,4.0,3.0787783
153,136,1938,4.0,3.1198092
154,116,124,3.0,3.0047164
155,50,1683,2.5,0.8139097
156,248,6244,3.5,2.8212147
157,47,2102,4.0,3.6876638
158,596,925,5.0,5.0
159,355,613,4.0,4.2061033
160,285,4791,5.0,4.6431317
161,281,3005,3.0,2.1214945
162,297,6138,2.5,1.7954638
163,17,2438,3.0,1.7864875
164,598,672,1.5,1.6911572
165,358,52,4.5,4.770693
166,333,5880,3.0,0.96991724
167,413,2708,3.0,2.822488
168,386,5990,4.0,3.4798572
169,192,613,4.0,2.9053342
170,601,31,3.0,5.0
171,248,6429,4.0,3.8653479
172,201,2252,3.0,3.862553
173,216,478,3.0,1.1926718
174,104,5916,4.0,3.0175803
175,4,126,3.0,1.8863959
176,88,5458,2.5,3.2754483
177,380,2353,3.5,2.470212
178,598,3017,1.5,1.0634321
179,281,418,4.0,3.4984512
180,491,801,5.0,4.5979133
