,user,item,actual,predicted
0,218,2832,3.0,3.0945656
1,245,6997,4.5,4.6643634
2,599,3668,5.0,4.7613206
3,386,4753,4.0,3.918371
4,134,2300,5.0,4.182651
5,181,4646,3.5,3.7282033
6,560,1266,3.5,3.517642
7,473,4700,1.5,1.2239999
8,439,1060,3.5,3.4408164
9,605,1041,4.0,4.42787
10,376,915,5.0,4.903039
11,386,4286,3.5,3.7871327
12,90,1332,3.0,3.0290246
13,102,1549,5.0,4.7893486
14,159,385,2.0,2.2725487
15,225,4900,4.5,4.3480496
16,316,7756,4.0,3.9353914
17,197,1397,3.0,2.965662
18,50,1989,3.5,3.4054973
19,392,899,5.0,4.7979407
20,333,6693,3.0,2.8303888
21,324,2565,5.0,4.8001065
22,483,7396,3.0,3.0578105
23,533,9180,4.0,3.3375628
24,18,1865,2.0,2.0580733
25,555,7866,3.5,4.450691
26,287,3212,3.0,2.9139163
27,138,7909,2.5,2.4316792
28,473,34,1.0,1.3272233
29,291,2704,4.0,3.9032364
30,413,4911,3.5,3.4094477
31,364,8871,3.0,3.0240436
32,297,8035,3.0,2.855498
33,264,2579,4.0,4.023868
34,297,7863,2.0,2.0257034
35,598,7683,3.5,3.4654932
36,607,3352,2.0,1.9667023
37,183,9722,3.5,3.4091783
38,598,5501,3.0,2.8296282
39,424,418,3.5,3.3990607
40,176,3740,3.0,3.1744227
41,281,3543,4.0,3.6980672
42,604,2200,3.0,3.3264039
43,121,8295,5.0,4.9410257
44,447,1120,2.0,1.9504439
45,498,5673,3.5,3.8992395
46,104,5827,5.0,4.760981
47,344,706,4.0,3.3625252
48,273,6126,2.5,2.6510577
49,384,398,4.0,3.816503
50,113,3189,2.0,1.9584192
51,473,577,4.5,4.327436
52,232,4354,4.0,3.878027
53,437,4421,5.0,5.080932
54,67,6679,3.0,2.9885526
55,44,1004,3.0,3.042419
56,351,6596,3.0,3.12458
57,607,144,4.0,3.9281602
58,437,4067,2.5,2.4005337
59,198,899,4.0,4.1596084
60,304,897,5.0,5.2707357
61,519,1903,4.0,4.0664005
62,83,308,4.0,3.607504
63,79,7137,4.0,4.2170954
64,413,6405,3.5,3.5612814
65,482,7265,3.0,4.049874
66,356,2248,3.0,2.732543
67,312,900,5.0,5.001893
68,104,7269,4.0,3.493795
69,74,964,4.0,4.217447
70,503,303,4.0,3.69177
71,287,995,3.0,2.9274092
72,478,963,5.0,4.6974864
73,609,3571,1.0,0.603467
74,521,322,3.0,2.9824364
75,287,5156,3.5,3.3490982
76,213,0,3.0,2.9551272
77,21,4522,4.0,3.9312272
78,473,4606,3.0,2.7674134
79,356,615,4.0,3.6801622
80,273,991,2.5,2.6077104
81,367,2927,2.0,2.1576226
82,238,43,5.0,5.3531747
83,413,4259,3.0,3.0840585
84,327,8861,3.5,3.4446394
85,492,2156,3.0,2.9749427
86,598,3956,2.5,2.4194033
87,139,5696,4.0,4.026629
88,317,6080,3.0,2.9939756
89,386,1428,4.0,4.0402884
90,565,116,5.0,4.9154162
91,598,3462,2.0,1.7733577
92,293,1170,2.0,2.148712
93,40,98,2.0,1.9838215
94,499,2391,4.0,3.7227135
95,225,3493,2.0,2.0363925
96,589,3841,1.0,0.99522626
97,554,947,5.0,4.548699
98,17,958,4.0,4.018611
99,306,6604,3.0,2.752812
100,23,8832,4.0,3.6469429
101,385,278,3.0,3.422855
102,110,3037,2.5,2.3770862
103,38,2550,2.0,2.1818573
104,473,5288,3.5,3.2203047
105,159,2755,5.0,4.930429
106,7,97,3.0,2.9693897
107,153,8671,5.0,4.924363
108,598,8387,2.5,2.0874014
109,481,986,3.5,3.3912826
110,579,4045,3.5,3.7672915
111,72,7827,4.5,4.644693
112,104,7438,3.0,2.995617
113,413,8457,4.0,4.007809
114,473,714,3.5,3.1605687
115,598,6357,1.0,1.3348868
116,104,7524,3.5,3.5915773
117,27,2475,4.0,4.0094523
118,570,1067,2.0,1.6328022
119,524,1157,4.5,4.3897505
120,248,7716,3.0,2.966074
121,216,2026,5.0,4.7177057
122,90,2799,3.0,2.9433813
123,41,1253,2.0,1.9442234
124,399,956,4.5,4.3869553
125,437,5320,3.5,3.4987373
126,253,6280,3.5,3.6292508
127,447,8303,4.0,3.6540508
128,247,899,4.0,4.201841
129,197,1502,4.0,4.238673
130,595,8861,4.0,3.5687532
131,112,98,4.0,3.7593215
132,306,854,4.5,4.454622
133,351,6045,4.0,3.8944206
134,447,2803,4.0,4.011084
135,73,6365,4.0,3.9163918
136,413,6520,4.0,4.1259527
137,562,3979,4.0,4.033999
138,413,4587,4.0,3.8195097
139,273,6654,3.5,3.605108
140,17,1938,4.5,4.1878057
141,579,1437,4.0,3.7756357
142,379,1314,3.0,3.0779562
143,245,201,4.0,4.0233226
144,413,1446,2.0,1.8876963
145,209,6453,4.0,3.785092
146,170,43,5.0,5.194583
147,181,659,4.5,4.6418877
148,273,2756,3.5,3.3171175
149,186,251,4.0,3.70113
150,560,7870,2.0,1.9832268
151,273,4183,3.0,2.843853
152,379,9131,3.0,3.0135524
153,598,200,1.0,1.0026338
154,18,1235,2.0,2.102179
155,287,3623,3.0,3.2525616
156,17,8045,4.0,4.0838637
157,291,7614,4.0,5.445953
158,479,4302,3.0,2.9925728
159,602,1114,4.0,4.0091305
160,413,3203,4.0,3.7105708
161,589,2109,4.0,4.234092
162,273,7351,4.0,3.989627
163,113,4354,3.0,3.096188
164,291,7601,3.0,2.8854165
165,17,438,2.0,2.1112492
166,603,156,4.0,4.094061
167,386,6501,3.5,3.063219
168,413,3766,4.0,4.1402225
169,424,62,4.0,4.1228485
170,248,8280,3.0,2.9639235
171,239,475,5.0,4.9376483
172,609,8668,4.0,3.7255125
173,104,8860,5.0,4.6685185
174,609,7758,4.0,4.5899796
175,386,6044,3.5,3.535298
176,410,191,1.0,0.8870807
177,332,2696,2.0,1.9392227
178,447,3934,4.0,4.092824
179,561,5324,2.5,2.8280306
180,158,3785,4.0,3.9694004
181,317,7676,4.0,3.9492366
182,589,2761,3.0,3.1006405
183,447,4316,2.0,2.4720116
184,132,337,3.0,2.9731312
185,134,1795,3.0,2.9564652
186,605,1744,4.0,3.8956375
187,602,3498,3.0,3.216941
188,459,1760,4.0,3.9300973
189,609,8678,5.0,4.9900565
190,368,4495,3.5,3.323568
191,523,595,3.0,2.3533478
192,603,199,3.0,3.3181973
193,479,3185,3.0,3.3624635
194,94,2832,4.0,3.969115
195,413,6603,3.5,3.4230828
196,165,3868,4.0,4.1011467
197,461,9444,5.0,5.040997
198,18,812,2.0,2.0795228
199,83,896,3.0,2.8566024
200,604,7244,3.0,3.302912
201,410,313,3.0,3.0575364
202,367,1154,3.0,3.230532
203,27,6809,2.5,2.1828566
204,41,2031,4.0,4.259669
205,381,5254,2.5,2.259484
206,297,7116,3.0,3.1709774
207,601,413,5.0,4.72703
208,581,8665,4.5,4.344102
209,355,2696,3.0,2.974114
210,598,7926,3.0,2.6806817
211,371,927,3.0,3.1141224
212,473,4893,3.0,2.9427435
213,609,5255,3.0,3.202484
214,237,2740,5.0,5.3534374
215,306,1744,4.0,4.0058565
216,48,914,4.0,3.918398
217,532,2194,3.5,3.6333618
218,31,191,4.0,3.9857514
219,34,300,4.0,3.8035831
220,27,191,3.0,3.4042895
221,461,937,3.5,3.527615
222,44,512,5.0,4.7623262
223,379,5868,3.0,2.8447194
224,334,1475,3.0,3.0799627
225,533,3951,5.0,4.7539434
226,201,267,3.0,2.9767582
227,297,5160,0.5,0.5173921
228,476,2960,0.5,0.5810982
229,589,4939,3.0,3.5003865
230,331,2038,2.5,2.6570656
231,598,7786,1.5,1.7201774
232,197,1193,2.0,2.2566447
233,424,1231,3.5,3.252273
234,57,33,4.0,3.5895066
235,41,3054,5.0,5.344602
236,231,2804,4.5,5.0671406
237,230,4131,3.0,2.9093158
238,607,513,0.5,0.59176874
239,369,1290,3.5,3.298947
240,513,3806,2.5,2.5358472
241,550,1502,4.5,4.534047
242,90,2899,3.0,3.0873098
243,159,2761,4.0,4.0580535
244,451,3185,4.0,4.322389
245,27,257,4.5,4.613352
246,595,7307,3.0,2.9137924
247,216,439,3.0,2.9948635
248,413,147,4.0,3.633255
249,235,2039,3.0,2.9118419
250,509,913,3.5,3.5128062
251,15,3979,4.5,4.547317
252,526,948,3.0,2.8967686
253,50,4683,3.0,3.3010986
254,168,4091,4.5,4.5269585
255,307,901,1.0,1.1497211
256,67,706,1.5,1.6483203
257,605,7061,4.0,4.0195713
258,413,4482,4.0,3.871729
259,437,6313,3.0,2.899328
260,158,7505,3.0,2.6822567
261,545,947,5.0,4.7761397
262,17,922,4.5,4.531666
263,379,4169,2.0,2.384345
264,211,7285,2.5,2.5313392
265,155,2013,3.0,2.7437186
266,158,7970,3.5,4.0208154
267,18,2171,3.0,3.0454607
268,585,910,4.5,4.5671525
269,379,2460,4.0,4.1291585
270,104,5076,5.0,4.666281
271,413,5366,3.0,3.067814
272,88,9237,5.0,5.440179
273,418,2982,2.5,2.4476228
274,599,779,2.5,2.5512924
275,56,899,5.0,5.008896
276,32,650,5.0,5.1667643
277,516,2762,2.0,1.712135
278,554,995,3.0,2.9739876
279,231,5901,4.5,4.556065
280,18,1485,2.0,2.2497535
281,602,155,4.0,3.8617024
282,248,7968,4.0,4.2052393
283,589,486,3.5,3.2876644
284,220,5803,4.0,3.2489252
285,50,3726,3.5,3.268997
286,593,4909,0.5,0.5496682
287,329,2940,4.0,3.983227
288,224,2037,4.0,3.8923464
289,287,1479,3.0,3.0503688
290,609,6889,3.5,3.4478955
291,420,6011,4.5,4.6071377
292,560,483,3.5,3.5497868
293,103,6641,3.5,3.4894755
294,152,8272,4.0,3.8341198
295,417,8286,4.5,5.6737933
296,304,6746,4.0,4.1343913
297,371,434,4.0,3.7069228
298,102,7404,3.5,3.759
299,100,2775,4.0,4.007911
300,559,5472,4.0,3.913053
301,331,5467,2.0,1.978035
302,589,696,4.0,3.9941423
303,87,190,4.5,4.5132203
304,588,830,3.0,2.754752
305,589,2250,2.5,2.6513476
306,473,3111,4.0,4.1254435
307,176,4606,2.5,2.2750058
308,84,1044,5.0,4.725498
309,424,617,4.0,3.8906221
310,371,910,5.0,4.6105986
311,595,1938,4.0,4.2790213
312,204,224,4.5,4.5837626
313,380,1437,4.5,4.467971
314,473,3035,3.5,4.0572734
315,607,1029,2.0,1.865458
316,551,2341,2.5,2.617933
317,421,3593,3.0,3.474298
318,214,520,3.5,3.636533
319,297,6780,3.5,3.3821607
320,297,8861,3.5,3.4047248
321,73,3809,4.0,3.924496
322,231,5907,2.5,2.6854436
323,220,730,4.5,4.4856596
324,431,5349,3.5,3.1626344
325,473,732,3.0,2.1104422
326,304,224,5.0,4.8046117
327,371,915,5.0,4.760447
328,366,3087,3.0,2.9770129
329,439,4402,4.5,4.5896997
330,312,1622,5.0,4.9633865
331,483,1594,5.0,5.1180487
332,159,131,3.0,3.2435546
333,216,2344,3.0,3.1257055
334,351,2458,3.0,3.0947042
335,426,1186,3.0,2.8512
336,283,203,5.0,5.025675
337,216,1001,3.0,2.9441016
338,533,2218,4.0,3.6354704
339,375,474,5.0,5.0950174
340,596,486,5.0,4.809841
341,26,1389,4.0,3.814234
342,367,2325,3.0,2.9537888
343,267,816,4.0,3.9655037
344,211,5298,3.0,2.939613
345,176,2962,3.0,3.116811
346,367,2410,3.0,3.132762
347,270,1258,3.0,2.9696677
348,301,418,5.0,4.9792247
349,69,123,4.0,4.0062513
350,386,6014,3.5,3.3060033
351,131,483,3.5,3.7512813
352,598,6421,3.0,2.995556
353,181,2192,3.0,3.1324346
354,598,1808,3.0,3.0884194
355,609,4300,2.0,2.0042877
356,90,830,4.5,4.4322867
357,344,904,5.0,4.9503746
