,user,item,actual,predicted
0,479,4633,3.5,3.5072217
1,596,1812,4.0,3.9941778
2,231,6700,3.0,3.1103
3,304,6576,2.5,2.5734606
4,120,43,3.0,2.9238377
5,38,1145,4.0,3.9696817
6,333,7163,4.0,4.023095
7,159,1274,2.0,1.9246473
8,67,6677,3.5,3.4828475
9,238,5255,4.5,4.487569
10,579,1441,3.5,3.5199308
11,417,922,4.0,4.054658
12,112,1062,3.0,2.9237604
13,176,5391,2.0,2.0024385
14,533,6471,3.5,3.4584327
15,379,9530,3.0,3.218732
16,356,436,3.5,3.453236
17,607,2194,4.0,3.9769886
18,21,1915,3.5,3.4855804
19,473,1946,4.0,4.005609
20,447,8604,2.0,2.0149887
21,447,4416,1.0,1.0732322
22,479,97,5.0,5.0135098
23,353,5922,3.5,3.463521
24,248,7689,4.5,4.6624537
25,186,5656,4.5,4.6093874
26,293,422,1.0,0.9990555
27,375,84,3.5,3.5930872
28,71,257,4.5,4.553493
29,488,944,4.0,4.009426
30,88,8870,4.5,4.4372435
31,513,1601,3.0,2.988168
32,316,6313,2.0,2.0843081
33,51,5721,5.0,5.050355
34,362,9587,2.0,0.95443463
35,452,1210,3.0,2.9711497
36,566,734,2.0,2.0111308
37,152,4875,0.5,0.5920687
38,58,945,5.0,4.9906936
39,264,1432,4.0,4.1547194
40,609,2804,3.5,3.50171
41,139,2804,4.0,4.02602
42,90,4596,5.0,5.1467147
43,424,4791,4.0,4.013903
44,56,968,4.0,4.0278378
45,63,991,5.0,5.0274606
46,419,6059,3.0,3.0053036
47,513,999,5.0,4.972232
48,589,1062,3.0,3.0305784
49,67,8004,4.0,3.9922118
50,473,2373,4.0,3.970479
51,61,8671,3.5,3.539761
52,300,4153,4.0,3.975025
53,443,510,5.0,5.0437613
54,27,1978,4.0,3.9533103
55,155,2144,4.5,4.4755836
56,44,357,3.0,3.0482588
57,1,8287,5.0,4.803053
58,220,1497,4.0,4.0217896
59,88,6478,5.0,4.936285
60,248,7930,3.5,3.5382047
61,61,9443,4.5,4.4821987
62,297,2992,3.0,3.0253153
63,18,1097,1.0,0.99810445
64,176,3227,2.0,1.8948417
65,447,559,3.0,2.946629
66,317,5980,3.5,3.5071232
67,595,9166,4.0,4.0094986
68,560,3765,1.5,1.5303811
69,104,6997,3.5,3.5015674
